"";"Gene";"B1";"B2";"B3";"B4";"Condition"
"91";"ENSMUSG00000050931.8";3508,16523401525;4637,75056645288;2400,80631443043;4575,38011984048;"FLASH"
"92";"ENSMUSG00000007097.15";1651,11664027224;911,242721422446;3425,46358223777;1170,16192465107;"FLASH"
"93";"ENSMUSG00000006014.18";6461,68707334925;5154,74864930514;4279,34463874389;6176,01125050777;"FLASH"
"94";"ENSMUSG00000033685.14";17085,030113061;15693,6246467199;13781,3691786575;14572,0405460162;"FLASH"
"95";"ENSMUSG00000068823.11";6546,80561411717;6130,50412976635;7959,61717117713;5786,89716472018;"FLASH"
"96";"ENSMUSG00000022443.18";11763,7484353765;11665,1612489664;9747,79771173333;12108,5912251243;"FLASH"
"97";"ENSMUSG00000027288.17";4596,40120146741;4053,55169293525;6418,11338027826;4201,30425959058;"FLASH"
"98";"ENSMUSG00000061315.15";5278,26478073727;4641,3346086217;6887,97385581602;4508,64799401701;"FLASH"
"99";"ENSMUSG00000031849.10";2363,18357271781;2617,24679378069;1119,53294075247;3559,36000695068;"FLASH"
"100";"ENSMUSG00000028649.23";11570,6300256772;11876,6197369268;11033,5889745992;13607,7143334122;"FLASH"
"101";"ENSMUSG00000086503.5";37449,412178503;41985,2619866401;42638,0309993764;40601,3291735557;"FLASH"
"102";"ENSMUSG00000024661.8";22442,0066626804;20541,9376905909;21494,3096001773;20003,6596324086;"FLASH"
"103";"ENSMUSG00000069919.8";25928,2058216588;17054,6646603292;16870,7018053182;14999,6900847441;"FLASH"
"104";"ENSMUSG00000037071.4";34918,737283629;29717,0856427698;33336,6007394039;35958,2770387956;"FLASH"
"105";"ENSMUSG00000064337.1";962,846289116631;475,781597910835;93,068517269979;97,7484659949487;"FLASH"
"106";"ENSMUSG00000006574.16";34261,5855387756;25759,4070778504;23925,8375610852;18934,0658410408;"FLASH"
"107";"ENSMUSG00000004207.16";28969,5919611403;29512,795239147;27819,3544631856;28944,8246036581;"FLASH"
"108";"ENSMUSG00000061482.8";14176,3556769273;11145,4751344875;9848,99842954147;8603,74478574769;"FLASH"
"109";"ENSMUSG00000067274.11";16374,7936868685;15650,6161406941;14557,5425411323;14400,980730525;"FLASH"
"110";"ENSMUSG00000068196.6";4352,94386980865;6022,98286470175;3771,53389402808;5856,44895783197;"FLASH"
"111";"ENSMUSG00000070327.16";13396,560013118;14131,8782716567;12274,2013455864;16280,7589227356;"FLASH"
"112";"ENSMUSG00000005413.9";8237,27813883049;6658,25433912507;8509,89607425886;10500,4409816881;"FLASH"
"113";"ENSMUSG00000032484.9";2062,06529408723;1498,1296265667;2039,37517940138;1541,41811761265;"FLASH"
"114";"ENSMUSG00000004655.6";10225,2079296682;7694,93853645621;8353,57710835879;5911,90241450218;"FLASH"
"115";"ENSMUSG00000098973.3";288,304734859067;72,5768539186019;3,61431135029045;12,2185582493686;"FLASH"
"116";"ENSMUSG00000001525.11";14363,0673147408;12924,0560607644;11421,2238669178;10681,8395772365;"FLASH"
"117";"ENSMUSG00000023944.15";10424,7331112533;9532,65615851859;9304,14099348518;9856,61695085603;"FLASH"
"118";"ENSMUSG00000044533.16";8956,66709628835;7866,07655001736;8007,50679656848;7645,05790772031;"FLASH"
"119";"ENSMUSG00000015656.18";9962,53028235221;8552,42062534636;8681,57586339765;10025,796988155;"FLASH"
"120";"ENSMUSG00000026879.15";6065,38246955885;4503,34898512214;5999,75684148214;5426,91964091186;"FLASH"
"121";"ENSMUSG00000067149.7";1264,87982087375;837,769856961639;1576,74332656421;2002,90366380034;"FLASH"
"122";"ENSMUSG00000073940.4";14024,4236579222;13329,9488363832;11713,0795084538;9189,29569262128;"FLASH"
"123";"ENSMUSG00000056054.10";1563,25234012472;1463,1852154207;1537,88947954858;987,823440006645;"FLASH"
"124";"ENSMUSG00000025393.13";7217,68615586858;5919,04564180598;7307,23397244971;5875,24673975408;"FLASH"
"125";"ENSMUSG00000009350.14";3029,48784883655;2606,49466727423;2394,48126956742;2474,72799004519;"FLASH"
"126";"ENSMUSG00000039218.18";15371,6762601842;14690,9888499926;14832,2302037544;15184,8482366768;"FLASH"
"127";"ENSMUSG00000028465.17";11055,3425154371;10925,0565411051;9392,6916215673;11466,6469724844;"FLASH"
"128";"ENSMUSG00000018293.5";7293,65216537113;7693,1465153718;6898,81678986689;7432,64297200052;"FLASH"
"129";"ENSMUSG00000022565.16";5591,28135001283;5102,78003785726;6108,18618199085;5950,4378674425;"FLASH"
"130";"ENSMUSG00000032518.7";12098,7310796889;11373,9578227498;10472,4671374666;10958,1669714914;"FLASH"
"131";"ENSMUSG00000069273.3";10449,4449456697;7791,70767501435;6515,6997867361;5992,73287676724;"FLASH"
