"";"boot";"cols";"Accuracy";"acc_teste";"mean_acc_test"
"314";79;2;1;0,5;0,625
"315";79;3;1;0,6;0,625
"316";79;4;1;0,7;0,625
"317";80;1;1;0,25;0,375
"318";80;2;1;0,35;0,375
"319";80;3;1;0,4;0,375
"320";80;4;1;0,6;0,375
"321";81;1;1;0,7;0,6
"322";81;2;1;0,6;0,6
"323";81;3;1;0,45;0,6
"324";81;4;1;0,6;0,6
"325";82;1;1;0,55;0,475
"326";82;2;1;0,45;0,475
"327";82;3;1;0,5;0,475
"328";82;4;1;0,35;0,475
"329";83;1;1;0,5;0,475
"330";83;2;1;0,45;0,475
"331";83;3;1;0,45;0,475
"332";83;4;1;0,55;0,475
"333";84;1;1;0,4;0,5
"334";84;2;1;0,55;0,5
"335";84;3;1;0,45;0,5
"336";84;4;1;0,55;0,5
"337";85;1;1;0,4;0,45
"338";85;2;1;0,5;0,45
"339";85;3;1;0,35;0,45
"340";85;4;1;0,55;0,45
"341";86;1;1;0,55;0,55
"342";86;2;1;0,65;0,55
"343";86;3;1;0,55;0,55
"344";86;4;1;0,55;0,55
"345";87;1;1;0,4;0,4
"346";87;2;1;0,5;0,4
"347";87;3;1;0,4;0,4
"348";87;4;1;0,35;0,4
"349";88;1;1;0,3;0,475
"350";88;2;1;0,45;0,475
"351";88;3;1;0,55;0,475
"352";88;4;1;0,5;0,475
"353";89;1;1;0,4;0,5
"354";89;2;1;0,5;0,5
"355";89;3;1;0,55;0,5
"356";89;4;1;0,5;0,5
"357";90;1;1;0,7;0,525
"358";90;2;1;0,45;0,525
"359";90;3;1;0,45;0,525
"360";90;4;1;0,6;0,525
"361";91;1;1;0,45;0,475
"362";91;2;1;0,5;0,475
"363";91;3;1;0,6;0,475
"364";91;4;1;0,35;0,475
"365";92;1;1;0,5;0,475
"366";92;2;1;0,4;0,475
"367";92;3;1;0,45;0,475
"368";92;4;1;0,6;0,475
"369";93;1;1;0,45;0,5
"370";93;2;1;0,45;0,5
"371";93;3;1;0,7;0,5
"372";93;4;1;0,55;0,5
"373";94;1;1;0,65;0,5
"374";94;2;1;0,5;0,5
"375";94;3;1;0,5;0,5
"376";94;4;1;0,5;0,5
"377";95;1;1;0,6;0,475
"378";95;2;1;0,4;0,475
"379";95;3;1;0,55;0,475
"380";95;4;1;0,4;0,475
"381";96;1;1;0,7;0,525
"382";96;2;1;0,4;0,525
"383";96;3;1;0,55;0,525
"384";96;4;1;0,5;0,525
"385";97;1;1;0,5;0,475
"386";97;2;1;0,45;0,475
"387";97;3;1;0,45;0,475
"388";97;4;1;0,5;0,475
"389";98;1;1;0,45;0,525
"390";98;2;1;0,5;0,525
"391";98;3;1;0,55;0,525
"392";98;4;1;0,7;0,525
"393";99;1;1;0,3;0,5
"394";99;2;1;0,5;0,5
"395";99;3;1;0,5;0,5
