"";"Gene";"S1";"S2";"S3";"S4";"Condition"
"80";"ENSMUSG00000026208.10";2532,3066164865;526,087449267122;689,378926610086;376,534090883022;"FLASH"
"81";"ENSMUSG00000049134.16";2495,02235671332;400,16793808351;710,154729877788;299,210125790973;"FLASH"
"82";"ENSMUSG00000029580.15";66974,6227449896;63789,9706740162;78835,6742086803;60029,4517257547;"FLASH"
"83";"ENSMUSG00000020061.19";2222,94802863877;350,013556510377;651,60473885063;187,426567560076;"FLASH"
"84";"ENSMUSG00000047730.18";3914,84727618387;6007,85464376044;2780,18021909602;4055,30577792541;"FLASH"
"85";"ENSMUSG00000018593.14";12276,5982923418;10992,3464805286;14645,0525943414;11952,4359518916;"FLASH"
"86";"ENSMUSG00000028063.16";10257,2021684107;9357,52706414481;9554,9807937546;11103,553291642;"FLASH"
"87";"ENSMUSG00000051879.5";5,03841348286212;6,40268700933617;13,2209657158099;186,58608967864;"FLASH"
"88";"ENSMUSG00000055333.15";7635,21179192926;7190,21751148452;7085,49326898011;6876,79002590377;"FLASH"
"89";"ENSMUSG00000026879.15";22939,8965874712;24685,5597644956;22025,1845278453;29373,0210004015;"FLASH"
"90";"ENSMUSG00000064368.1";14105,5423866208;11286,8700829581;13988,7260820208;11134,6509732551;"FLASH"
"91";"ENSMUSG00000029661.17";9070,15195184839;9776,90306325633;10915,795907789;10404,2756942878;"FLASH"
"92";"ENSMUSG00000027912.9";8665,06350782628;10419,3059931931;10332,1847069054;10865,6980511958;"FLASH"
"93";"ENSMUSG00000030672.13";2759,0352232153;273,181312398343;485,39831270902;217,683771291747;"FLASH"
"94";"ENSMUSG00000032231.15";16031,2240197707;15063,3883039649;14835,8122425267;17283,5871538359;"FLASH"
"95";"ENSMUSG00000070047.15";12308,8441386322;11295,4069989706;13012,2633284389;12339,0557773519;"FLASH"
"96";"ENSMUSG00000022443.18";9416,79479946931;8801,56040883412;9533,26063579291;9966,38671805999;"FLASH"
"97";"ENSMUSG00000041220.11";10222,9409567272;14600,2606102896;7141,21019592531;9045,22296000688;"FLASH"
"98";"ENSMUSG00000028749.8";9243,47337565885;11046,769320108;10989,45557392;11467,4802143035;"FLASH"
"99";"ENSMUSG00000027913.6";6484,43815244355;8559,3254169809;7951,46652336565;8813,25106473074;"FLASH"
"100";"ENSMUSG00000023944.15";14827,0431973667;13885,293894247;14566,6711547405;14891,587103271;"FLASH"
"101";"ENSMUSG00000092341.6";168682,052675438;182484,049567592;149666,998031132;166480,177798945;"FLASH"
"102";"ENSMUSG00000037742.15";97077,1279396976;95913,3185143573;95682,0175947041;103356,086513745;"FLASH"
"103";"ENSMUSG00000026185.9";9226,34276981712;11965,5549059477;11310,5361698753;11140,5343184251;"FLASH"
"104";"ENSMUSG00000027559.6";15830,6951631528;13106,3003081111;12015,9691262832;14175,4999482881;"FLASH"
"105";"ENSMUSG00000024846.7";8820,24664309843;11430,9305406682;12067,9086344525;11749,8807824657;"FLASH"
"106";"ENSMUSG00000056999.17";10122,17268707;10378,7556421339;15831,1620899883;15923,6939416735;"FLASH"
"107";"ENSMUSG00000064373.14";8411,12746829003;10686,0846185821;12950,8802733298;8024,04233406297;"FLASH"
"108";"ENSMUSG00000005087.18";12090,1769934759;11191,8968923196;12228,4489324301;10563,1260138791;"FLASH"
"109";"ENSMUSG00000037185.10";11495,6442024982;13187,4010102294;13600,5963027924;14130,954620572;"FLASH"
"110";"ENSMUSG00000028435.9";7848,84052360261;5088,00194341914;6886,23442854897;6895,28053929534;"FLASH"
"111";"ENSMUSG00000001175.17";13128,0901709455;13925,8442453062;16087,0822120587;13955,294743352;"FLASH"
"112";"ENSMUSG00000026413.13";21363,880850032;20099,1016368078;21125,2145044762;23688,8690882544;"FLASH"
"113";"ENSMUSG00000017466.11";5608,76188912211;7037,620137762;7551,06013311541;6958,31638040299;"FLASH"
"114";"ENSMUSG00000069516.9";6374,60073851716;8457,94953933308;9893,05977420173;5750,54966478044;"FLASH"
"115";"ENSMUSG00000060802.9";24982,4694134235;27481,3997585724;35619,1703477798;23291,3230503355;"FLASH"
"116";"ENSMUSG00000034926.4";10203,7949854924;13094,562048594;5878,60797006546;9885,7008414422;"FLASH"
"117";"ENSMUSG00000064339.1";1369,44078464192;1612,41001185116;6375,33853910232;922,004235934543;"FLASH"
"118";"ENSMUSG00000092274.5";25175,9444911655;26740,8222944925;20098,700952113;24461,2682612935;"FLASH"
"119";"ENSMUSG00000024608.12";5134,1433390365;5677,04914827807;2993,60437993695;9114,14214628458;"FLASH"
"120";"ENSMUSG00000004951.11";10539,353323451;12026,3804325364;10115,9274819825;13729,2061932459;"FLASH"
"121";"ENSMUSG00000093674.8";9487,33258822938;10913,3800074135;8709,78334263675;13369,4816599916;"FLASH"
"122";"ENSMUSG00000046056.16";6522,7300949133;6615,04279514582;5142,01130875606;9480,59050259038;"FLASH"
"123";"ENSMUSG00000060126.15";20125,4388159445;20904,7730854826;19606,692156546;24030,9435859986;"FLASH"
"124";"ENSMUSG00000019851.9";30728,2761492795;33313,1805095761;32641,6199976406;35471,5285080961;"FLASH"
"125";"ENSMUSG00000045128.10";15540,4825465399;14711,2405184514;18810,6011495155;14120,0284081133;"FLASH"
"126";"ENSMUSG00000118671.1";26476,8628524404;24852,0296267383;24800,6429734714;24654,5781740236;"FLASH"
"127";"ENSMUSG00000038900.18";7939,53196629413;8025,76816620289;6353,61838114063;9935,28903644689;"FLASH"
"128";"ENSMUSG00000027763.14";12723,0017269234;11191,8968923196;14088,8276795834;10651,3761914298;"FLASH"
"129";"ENSMUSG00000033174.18";4889,2764437694;5240,59931714165;3337,34948854801;5842,16175385689;"FLASH"
"130";"ENSMUSG00000075602.11";4562,78725007994;4386,90771589683;7446,23676208292;4313,33248752605;"FLASH"
"131";"ENSMUSG00000066364.3";3052,27088791787;3664,4711983434;1844,32471735548;3638,42874873349;"FLASH"
"132";"ENSMUSG00000047675.16";5856,65183247893;6144,44529995961;4270,37192620659;7703,82026123612;"FLASH"
"133";"ENSMUSG00000033579.17";3508,75114946518;4385,84060139527;2002,03195125121;4012,4414059722;"FLASH"
"134";"ENSMUSG00000061477.5";11946,0783678661;12567,4074848253;10806,2507632866;13851,9159639355;"FLASH"
"135";"ENSMUSG00000025153.10";13009,18361275;16063,2745919229;9747,62915132782;15071,4493698981;"FLASH"
"136";"ENSMUSG00000061397.9";6214,37918976214;6208,47217005297;4984,30407486032;7631,53916343268;"FLASH"
