"";" Neat1";" Ly6c2";" H1f3";" H2bc15";" Mpo";" Ibsp";" H1f5";" Acta1";" Ctsk";" Scd1";" Alas2";" mt-Rnr2";" Cybb";" Rnf213";" Cd24a";" Myot";" Serpinh1";" Lgals3bp";" Col1a2";" Ldb3";" Des";" Fech";" Naca";" Mmp13";" Itm2b";" Ctss";" Actn3";" H2-Aa";" Sparc";" H3c11";" Hemgn";" H3c3";" Igha";" Myh1";" Epb41";" B2m";" Myh2";" Chad";" Laptm5";" Pde4dip";" Rn18s-rs5";" Ahnak";" Tnc";" Atp2a1";" Pkm";" Hsp90ab1";" Igfbp4";" Hectd4";" Tubb5";" mt-Cytb"
" Alas2";-0,6;0,6;1;1;0,8;-0,8;0,8;-0,2;-0,8;0,6;1;-0,2;0,4;0,8;0,8;-0,4;-0,4;0;-0,6;-0,2;-0,2;0,8;0,8;-0,8;-0,2;0;-0,4;0,4;-0,4;0,8;0,8;1;-0,8;-0,2;0,8;0,6;0,2;-0,8;0;-0,4;-0,2;-1;-0,8;-0,4;0;0,6;-0,4;1;0,8;-0,4
" mt-Rnr2";-0,2;0,2;-0,2;-0,2;0,4;-0,4;-0,4;1;0,4;0,2;-0,2;1;-0,8;-0,4;-0,4;0,8;0,8;0,4;-0,2;1;1;-0,4;0,4;-0,4;-0,6;0,4;0,8;-0,8;0;0,4;-0,4;-0,2;-0,4;1;-0,4;0,2;0,6;0,4;0,4;0,8;1;0,2;0,4;0,8;0,4;0,2;0;-0,2;0,4;0,8
" Cybb";-0,4;0,4;0,4;0,4;0;0;0,2;-0,8;-0,2;0,4;0,4;-0,8;1;0,8;0,2;-0,4;-0,4;0,2;-0,4;-0,8;-0,8;0,2;0;0;0,8;0,2;-0,4;1;0,4;0;0,2;0,4;0;-0,8;0,2;0,4;-0,8;-0,2;0,2;-0,4;-0,8;-0,4;-0,2;-0,4;0,2;0,4;0,4;0,4;0;-1
" Rnf213";-0,8;0,8;0,8;0,8;0,6;-0,6;0,4;-0,4;-0,4;0,8;0,8;-0,4;0,8;1;0,4;-0,2;-0,2;0,4;-0,8;-0,4;-0,4;0,4;0,6;-0,6;0,4;0,4;-0,2;0,8;0,2;0,6;0,4;0,8;-0,6;-0,4;0,4;0,8;-0,4;-0,4;0,4;-0,2;-0,4;-0,8;-0,4;-0,2;0,4;0,8;0,2;0,8;0,6;-0,8
" Cd24a";0;0;0,8;0,8;0,4;-0,4;1;-0,4;-1;0;0,8;-0,4;0,2;0,4;1;-0,8;-0,8;-0,6;0;-0,4;-0,4;1;0,4;-0,4;-0,4;-0,6;-0,8;0,2;-0,8;0,4;1;0,8;-0,4;-0,4;1;0;0,4;-1;-0,6;-0,8;-0,4;-0,8;-1;-0,8;-0,6;0;-0,8;0,8;0,4;-0,2
" Myot";-0,4;0,4;-0,4;-0,4;0,2;-0,2;-0,8;0,8;0,8;0,4;-0,4;0,8;-0,4;-0,2;-0,8;1;1;0,8;-0,4;0,8;0,8;-0,8;0,2;-0,2;0;0,8;1;-0,4;0,6;0,2;-0,8;-0,4;-0,2;0,8;-0,8;0,4;0;0,8;0,8;1;0,8;0,4;0,8;1;0,8;0,4;0,6;-0,4;0,2;0,4
" Serpinh1";-0,4;0,4;-0,4;-0,4;0,2;-0,2;-0,8;0,8;0,8;0,4;-0,4;0,8;-0,4;-0,2;-0,8;1;1;0,8;-0,4;0,8;0,8;-0,8;0,2;-0,2;0;0,8;1;-0,4;0,6;0,2;-0,8;-0,4;-0,2;0,8;-0,8;0,4;0;0,8;0,8;1;0,8;0,4;0,8;1;0,8;0,4;0,6;-0,4;0,2;0,4
" Lgals3bp";-0,8;0,8;0;0;0,4;-0,4;-0,6;0,4;0,6;0,8;0;0,4;0,2;0,4;-0,6;0,8;0,8;1;-0,8;0,4;0,4;-0,6;0,4;-0,4;0,4;1;0,8;0,2;0,8;0,4;-0,6;0;-0,4;0,4;-0,6;0,8;-0,4;0,6;1;0,8;0,4;0;0,6;0,8;1;0,8;0,8;0;0,4;-0,2
" Col1a2";1;-1;-0,6;-0,6;-0,8;0,8;0;-0,2;0;-1;-0,6;-0,2;-0,4;-0,8;0;-0,4;-0,4;-0,8;1;-0,2;-0,2;0;-0,8;0,8;-0,2;-0,8;-0,4;-0,4;-0,4;-0,8;0;-0,6;0,8;-0,2;0;-1;0,2;0;-0,8;-0,4;-0,2;0,6;0;-0,4;-0,8;-1;-0,4;-0,6;-0,8;0,4
" Ldb3";-0,2;0,2;-0,2;-0,2;0,4;-0,4;-0,4;1;0,4;0,2;-0,2;1;-0,8;-0,4;-0,4;0,8;0,8;0,4;-0,2;1;1;-0,4;0,4;-0,4;-0,6;0,4;0,8;-0,8;0;0,4;-0,4;-0,2;-0,4;1;-0,4;0,2;0,6;0,4;0,4;0,8;1;0,2;0,4;0,8;0,4;0,2;0;-0,2;0,4;0,8
" Des";-0,2;0,2;-0,2;-0,2;0,4;-0,4;-0,4;1;0,4;0,2;-0,2;1;-0,8;-0,4;-0,4;0,8;0,8;0,4;-0,2;1;1;-0,4;0,4;-0,4;-0,6;0,4;0,8;-0,8;0;0,4;-0,4;-0,2;-0,4;1;-0,4;0,2;0,6;0,4;0,4;0,8;1;0,2;0,4;0,8;0,4;0,2;0;-0,2;0,4;0,8
" Fech";0;0;0,8;0,8;0,4;-0,4;1;-0,4;-1;0;0,8;-0,4;0,2;0,4;1;-0,8;-0,8;-0,6;0;-0,4;-0,4;1;0,4;-0,4;-0,4;-0,6;-0,8;0,2;-0,8;0,4;1;0,8;-0,4;-0,4;1;0;0,4;-1;-0,6;-0,8;-0,4;-0,8;-1;-0,8;-0,6;0;-0,8;0,8;0,4;-0,2
" Naca";-0,8;0,8;0,8;0,8;1;-1;0,4;0,4;-0,4;0,8;0,8;0,4;0;0,6;0,4;0,2;0,2;0,4;-0,8;0,4;0,4;0,4;1;-1;-0,4;0,4;0,2;0;-0,2;1;0,4;0,8;-1;0,4;0,4;0,8;0,4;-0,4;0,4;0,2;0,4;-0,8;-0,4;0,2;0,4;0,8;-0,2;0,8;1;0
" Mmp13";0,8;-0,8;-0,8;-0,8;-1;1;-0,4;-0,4;0,4;-0,8;-0,8;-0,4;0;-0,6;-0,4;-0,2;-0,2;-0,4;0,8;-0,4;-0,4;-0,4;-1;1;0,4;-0,4;-0,2;0;0,2;-1;-0,4;-0,8;1;-0,4;-0,4;-0,8;-0,4;0,4;-0,4;-0,2;-0,4;0,8;0,4;-0,2;-0,4;-0,8;0,2;-0,8;-1;0
" Itm2b";-0,2;0,2;-0,2;-0,2;-0,4;0,4;-0,4;-0,6;0,4;0,2;-0,2;-0,6;0,8;0,4;-0,4;0;0;0,4;-0,2;-0,6;-0,6;-0,4;-0,4;0,4;1;0,4;0;0,8;0,8;-0,4;-0,4;-0,2;0,4;-0,6;-0,4;0,2;-1;0,4;0,4;0;-0,6;0,2;0,4;0;0,4;0,2;0,8;-0,2;-0,4;-0,8
" Ctss";-0,8;0,8;0;0;0,4;-0,4;-0,6;0,4;0,6;0,8;0;0,4;0,2;0,4;-0,6;0,8;0,8;1;-0,8;0,4;0,4;-0,6;0,4;-0,4;0,4;1;0,8;0,2;0,8;0,4;-0,6;0;-0,4;0,4;-0,6;0,8;-0,4;0,6;1;0,8;0,4;0;0,6;0,8;1;0,8;0,8;0;0,4;-0,2
" Actn3";-0,4;0,4;-0,4;-0,4;0,2;-0,2;-0,8;0,8;0,8;0,4;-0,4;0,8;-0,4;-0,2;-0,8;1;1;0,8;-0,4;0,8;0,8;-0,8;0,2;-0,2;0;0,8;1;-0,4;0,6;0,2;-0,8;-0,4;-0,2;0,8;-0,8;0,4;0;0,8;0,8;1;0,8;0,4;0,8;1;0,8;0,4;0,6;-0,4;0,2;0,4
" H2-Aa";-0,4;0,4;0,4;0,4;0;0;0,2;-0,8;-0,2;0,4;0,4;-0,8;1;0,8;0,2;-0,4;-0,4;0,2;-0,4;-0,8;-0,8;0,2;0;0;0,8;0,2;-0,4;1;0,4;0;0,2;0,4;0;-0,8;0,2;0,4;-0,8;-0,2;0,2;-0,4;-0,8;-0,4;-0,2;-0,4;0,2;0,4;0,4;0,4;0;-1
" Sparc";-0,4;0,4;-0,4;-0,4;-0,2;0,2;-0,8;0;0,8;0,4;-0,4;0;0,4;0,2;-0,8;0,6;0,6;0,8;-0,4;0;0;-0,8;-0,2;0,2;0,8;0,8;0,6;0,4;1;-0,2;-0,8;-0,4;0,2;0;-0,8;0,4;-0,8;0,8;0,8;0,6;0;0,4;0,8;0,6;0,8;0,4;1;-0,4;-0,2;-0,4
" H3c11";-0,8;0,8;0,8;0,8;1;-1;0,4;0,4;-0,4;0,8;0,8;0,4;0;0,6;0,4;0,2;0,2;0,4;-0,8;0,4;0,4;0,4;1;-1;-0,4;0,4;0,2;0;-0,2;1;0,4;0,8;-1;0,4;0,4;0,8;0,4;-0,4;0,4;0,2;0,4;-0,8;-0,4;0,2;0,4;0,8;-0,2;0,8;1;0
" Hemgn";0;0;0,8;0,8;0,4;-0,4;1;-0,4;-1;0;0,8;-0,4;0,2;0,4;1;-0,8;-0,8;-0,6;0;-0,4;-0,4;1;0,4;-0,4;-0,4;-0,6;-0,8;0,2;-0,8;0,4;1;0,8;-0,4;-0,4;1;0;0,4;-1;-0,6;-0,8;-0,4;-0,8;-1;-0,8;-0,6;0;-0,8;0,8;0,4;-0,2
" H3c3";-0,6;0,6;1;1;0,8;-0,8;0,8;-0,2;-0,8;0,6;1;-0,2;0,4;0,8;0,8;-0,4;-0,4;0;-0,6;-0,2;-0,2;0,8;0,8;-0,8;-0,2;0;-0,4;0,4;-0,4;0,8;0,8;1;-0,8;-0,2;0,8;0,6;0,2;-0,8;0;-0,4;-0,2;-1;-0,8;-0,4;0;0,6;-0,4;1;0,8;-0,4
" Igha";0,8;-0,8;-0,8;-0,8;-1;1;-0,4;-0,4;0,4;-0,8;-0,8;-0,4;0;-0,6;-0,4;-0,2;-0,2;-0,4;0,8;-0,4;-0,4;-0,4;-1;1;0,4;-0,4;-0,2;0;0,2;-1;-0,4;-0,8;1;-0,4;-0,4;-0,8;-0,4;0,4;-0,4;-0,2;-0,4;0,8;0,4;-0,2;-0,4;-0,8;0,2;-0,8;-1;0
" Myh1";-0,2;0,2;-0,2;-0,2;0,4;-0,4;-0,4;1;0,4;0,2;-0,2;1;-0,8;-0,4;-0,4;0,8;0,8;0,4;-0,2;1;1;-0,4;0,4;-0,4;-0,6;0,4;0,8;-0,8;0;0,4;-0,4;-0,2;-0,4;1;-0,4;0,2;0,6;0,4;0,4;0,8;1;0,2;0,4;0,8;0,4;0,2;0;-0,2;0,4;0,8
" Epb41";0;0;0,8;0,8;0,4;-0,4;1;-0,4;-1;0;0,8;-0,4;0,2;0,4;1;-0,8;-0,8;-0,6;0;-0,4;-0,4;1;0,4;-0,4;-0,4;-0,6;-0,8;0,2;-0,8;0,4;1;0,8;-0,4;-0,4;1;0;0,4;-1;-0,6;-0,8;-0,4;-0,8;-1;-0,8;-0,6;0;-0,8;0,8;0,4;-0,2
" B2m";-1;1;0,6;0,6;0,8;-0,8;0;0,2;0;1;0,6;0,2;0,4;0,8;0;0,4;0,4;0,8;-1;0,2;0,2;0;0,8;-0,8;0,2;0,8;0,4;0,4;0,4;0,8;0;0,6;-0,8;0,2;0;1;-0,2;0;0,8;0,4;0,2;-0,6;0;0,4;0,8;1;0,4;0,6;0,8;-0,4
" Myh2";0,2;-0,2;0,2;0,2;0,4;-0,4;0,4;0,6;-0,4;-0,2;0,2;0,6;-0,8;-0,4;0,4;0;0;-0,4;0,2;0,6;0,6;0,4;0,4;-0,4;-1;-0,4;0;-0,8;-0,8;0,4;0,4;0,2;-0,4;0,6;0,4;-0,2;1;-0,4;-0,4;0;0,6;-0,2;-0,4;0;-0,4;-0,2;-0,8;0,2;0,4;0,8
" Chad";0;0;-0,8;-0,8;-0,4;0,4;-1;0,4;1;0;-0,8;0,4;-0,2;-0,4;-1;0,8;0,8;0,6;0;0,4;0,4;-1;-0,4;0,4;0,4;0,6;0,8;-0,2;0,8;-0,4;-1;-0,8;0,4;0,4;-1;0;-0,4;1;0,6;0,8;0,4;0,8;1;0,8;0,6;0;0,8;-0,8;-0,4;0,2
" Laptm5";-0,8;0,8;0;0;0,4;-0,4;-0,6;0,4;0,6;0,8;0;0,4;0,2;0,4;-0,6;0,8;0,8;1;-0,8;0,4;0,4;-0,6;0,4;-0,4;0,4;1;0,8;0,2;0,8;0,4;-0,6;0;-0,4;0,4;-0,6;0,8;-0,4;0,6;1;0,8;0,4;0;0,6;0,8;1;0,8;0,8;0;0,4;-0,2
" Pde4dip";-0,4;0,4;-0,4;-0,4;0,2;-0,2;-0,8;0,8;0,8;0,4;-0,4;0,8;-0,4;-0,2;-0,8;1;1;0,8;-0,4;0,8;0,8;-0,8;0,2;-0,2;0;0,8;1;-0,4;0,6;0,2;-0,8;-0,4;-0,2;0,8;-0,8;0,4;0;0,8;0,8;1;0,8;0,4;0,8;1;0,8;0,4;0,6;-0,4;0,2;0,4
" Rn18s-rs5";-0,2;0,2;-0,2;-0,2;0,4;-0,4;-0,4;1;0,4;0,2;-0,2;1;-0,8;-0,4;-0,4;0,8;0,8;0,4;-0,2;1;1;-0,4;0,4;-0,4;-0,6;0,4;0,8;-0,8;0;0,4;-0,4;-0,2;-0,4;1;-0,4;0,2;0,6;0,4;0,4;0,8;1;0,2;0,4;0,8;0,4;0,2;0;-0,2;0,4;0,8
" Ahnak";0,6;-0,6;-1;-1;-0,8;0,8;-0,8;0,2;0,8;-0,6;-1;0,2;-0,4;-0,8;-0,8;0,4;0,4;0;0,6;0,2;0,2;-0,8;-0,8;0,8;0,2;0;0,4;-0,4;0,4;-0,8;-0,8;-1;0,8;0,2;-0,8;-0,6;-0,2;0,8;0;0,4;0,2;1;0,8;0,4;0;-0,6;0,4;-1;-0,8;0,4
" Tnc";0;0;-0,8;-0,8;-0,4;0,4;-1;0,4;1;0;-0,8;0,4;-0,2;-0,4;-1;0,8;0,8;0,6;0;0,4;0,4;-1;-0,4;0,4;0,4;0,6;0,8;-0,2;0,8;-0,4;-1;-0,8;0,4;0,4;-1;0;-0,4;1;0,6;0,8;0,4;0,8;1;0,8;0,6;0;0,8;-0,8;-0,4;0,2
" Atp2a1";-0,4;0,4;-0,4;-0,4;0,2;-0,2;-0,8;0,8;0,8;0,4;-0,4;0,8;-0,4;-0,2;-0,8;1;1;0,8;-0,4;0,8;0,8;-0,8;0,2;-0,2;0;0,8;1;-0,4;0,6;0,2;-0,8;-0,4;-0,2;0,8;-0,8;0,4;0;0,8;0,8;1;0,8;0,4;0,8;1;0,8;0,4;0,6;-0,4;0,2;0,4
" Pkm";-0,8;0,8;0;0;0,4;-0,4;-0,6;0,4;0,6;0,8;0;0,4;0,2;0,4;-0,6;0,8;0,8;1;-0,8;0,4;0,4;-0,6;0,4;-0,4;0,4;1;0,8;0,2;0,8;0,4;-0,6;0;-0,4;0,4;-0,6;0,8;-0,4;0,6;1;0,8;0,4;0;0,6;0,8;1;0,8;0,8;0;0,4;-0,2
" Hsp90ab1";-1;1;0,6;0,6;0,8;-0,8;0;0,2;0;1;0,6;0,2;0,4;0,8;0;0,4;0,4;0,8;-1;0,2;0,2;0;0,8;-0,8;0,2;0,8;0,4;0,4;0,4;0,8;0;0,6;-0,8;0,2;0;1;-0,2;0;0,8;0,4;0,2;-0,6;0;0,4;0,8;1;0,4;0,6;0,8;-0,4
" Igfbp4";-0,4;0,4;-0,4;-0,4;-0,2;0,2;-0,8;0;0,8;0,4;-0,4;0;0,4;0,2;-0,8;0,6;0,6;0,8;-0,4;0;0;-0,8;-0,2;0,2;0,8;0,8;0,6;0,4;1;-0,2;-0,8;-0,4;0,2;0;-0,8;0,4;-0,8;0,8;0,8;0,6;0;0,4;0,8;0,6;0,8;0,4;1;-0,4;-0,2;-0,4
" Hectd4";-0,6;0,6;1;1;0,8;-0,8;0,8;-0,2;-0,8;0,6;1;-0,2;0,4;0,8;0,8;-0,4;-0,4;0;-0,6;-0,2;-0,2;0,8;0,8;-0,8;-0,2;0;-0,4;0,4;-0,4;0,8;0,8;1;-0,8;-0,2;0,8;0,6;0,2;-0,8;0;-0,4;-0,2;-1;-0,8;-0,4;0;0,6;-0,4;1;0,8;-0,4
" Tubb5";-0,8;0,8;0,8;0,8;1;-1;0,4;0,4;-0,4;0,8;0,8;0,4;0;0,6;0,4;0,2;0,2;0,4;-0,8;0,4;0,4;0,4;1;-1;-0,4;0,4;0,2;0;-0,2;1;0,4;0,8;-1;0,4;0,4;0,8;0,4;-0,4;0,4;0,2;0,4;-0,8;-0,4;0,2;0,4;0,8;-0,2;0,8;1;0
" mt-Cytb";0,4;-0,4;-0,4;-0,4;0;0;-0,2;0,8;0,2;-0,4;-0,4;0,8;-1;-0,8;-0,2;0,4;0,4;-0,2;0,4;0,8;0,8;-0,2;0;0;-0,8;-0,2;0,4;-1;-0,4;0;-0,2;-0,4;0;0,8;-0,2;-0,4;0,8;0,2;-0,2;0,4;0,8;0,4;0,2;0,4;-0,2;-0,4;-0,4;-0,4;0;1
