"";"Gene1";"Gene2";"Difference"
"231";" Rps7";" Anxa8";0,6
"232";" Ly6g6c";" Anxa8";0,8
"233";" Wnk1";" Anxa8";0,2
"234";" Rpl18a";" Anxa8";0,6
"235";" Fasn";" Dstn";0,2
"236";" Dst";" Dstn";1,2
"237";" mt-Nd4";" Dstn";0
"238";" Timp2";" Dstn";0
"239";" Ttn";" Dstn";0,6
"240";" Ly6d";" Dstn";0,4
"241";" Krt79";" Dstn";0,2
"242";" Actg1";" Dstn";0,2
"243";" Eef2";" Dstn";1,2
"244";" Scd1";" Dstn";0,2
"245";" Lce1m";" Dstn";0,2
"246";" Hsp90ab1";" Dstn";0,8
"247";" Anxa8";" Dstn";1
"248";" Dstn";" Dstn";0
"249";" Rps7";" Dstn";0,4
"250";" Ly6g6c";" Dstn";0,2
"251";" Wnk1";" Dstn";1,2
"252";" Rpl18a";" Dstn";1,2
"253";" Fasn";" Rps7";0,4
"254";" Dst";" Rps7";1
"255";" mt-Nd4";" Rps7";0,2
"256";" Timp2";" Rps7";0,2
"257";" Ttn";" Rps7";0,4
"258";" Ly6d";" Rps7";1
"259";" Krt79";" Rps7";1
"260";" Actg1";" Rps7";0,4
"261";" Eef2";" Rps7";1
"262";" Scd1";" Rps7";0,4
"263";" Lce1m";" Rps7";0,8
"264";" Hsp90ab1";" Rps7";1,2
"265";" Anxa8";" Rps7";0,6
"266";" Dstn";" Rps7";0,4
"267";" Rps7";" Rps7";0
"268";" Ly6g6c";" Rps7";0,2
"269";" Wnk1";" Rps7";0,8
"270";" Rpl18a";" Rps7";0,6
"271";" Fasn";" Ly6g6c";0,6
"272";" Dst";" Ly6g6c";0,8
"273";" mt-Nd4";" Ly6g6c";0,4
"274";" Timp2";" Ly6g6c";0,4
"275";" Ttn";" Ly6g6c";0,2
"276";" Ly6d";" Ly6g6c";0
"277";" Krt79";" Ly6g6c";0,8
"278";" Actg1";" Ly6g6c";0,6
"279";" Eef2";" Ly6g6c";0,8
"280";" Scd1";" Ly6g6c";0,6
"281";" Lce1m";" Ly6g6c";0,6
"282";" Hsp90ab1";" Ly6g6c";0,4
"283";" Anxa8";" Ly6g6c";0,8
"284";" Dstn";" Ly6g6c";0,2
"285";" Rps7";" Ly6g6c";0,2
"286";" Ly6g6c";" Ly6g6c";0
"287";" Wnk1";" Ly6g6c";0,6
"288";" Rpl18a";" Ly6g6c";0,6
"289";" Fasn";" Wnk1";0,6
"290";" Dst";" Wnk1";0
"291";" mt-Nd4";" Wnk1";1,2
"292";" Timp2";" Wnk1";0,4
"293";" Ttn";" Wnk1";0,6
"294";" Ly6d";" Wnk1";0
"295";" Krt79";" Wnk1";1,4
"296";" Actg1";" Wnk1";0,6
"297";" Eef2";" Wnk1";0
"298";" Scd1";" Wnk1";0,6
"299";" Lce1m";" Wnk1";1,4
"300";" Hsp90ab1";" Wnk1";0,4
"301";" Anxa8";" Wnk1";0,2
"302";" Dstn";" Wnk1";1,2
"303";" Rps7";" Wnk1";0,8
"304";" Ly6g6c";" Wnk1";0,6
"305";" Wnk1";" Wnk1";0
"306";" Rpl18a";" Wnk1";0
"307";" Fasn";" Rpl18a";0,4
"308";" Dst";" Rpl18a";0
"309";" mt-Nd4";" Rpl18a";1,2
"310";" Timp2";" Rpl18a";0,4
"311";" Ttn";" Rpl18a";1,2
"312";" Ly6d";" Rpl18a";0
"313";" Krt79";" Rpl18a";0,8
"314";" Actg1";" Rpl18a";0,4
"315";" Eef2";" Rpl18a";0
"316";" Scd1";" Rpl18a";0,4
"317";" Lce1m";" Rpl18a";1,6
"318";" Hsp90ab1";" Rpl18a";0,6
"319";" Anxa8";" Rpl18a";0,6
"320";" Dstn";" Rpl18a";1,2
"321";" Rps7";" Rpl18a";0,6
"322";" Ly6g6c";" Rpl18a";0,6
"323";" Wnk1";" Rpl18a";0
"324";" Rpl18a";" Rpl18a";0
