"";"LHS";"RHS";"support";"confidence";"coverage";"lift";"count"
"106";" Hemgn=[4.2e+03,5.12e+03]";" Naca=[5.28e+03,6.89e+03]";0,5;1;0,5;2;2
"107";" Naca=[5.28e+03,6.89e+03]";" Myh2=[1.7e+03,4.58e+03]";0,5;1;0,5;2;2
"108";" Myh2=[1.7e+03,4.58e+03]";" Naca=[5.28e+03,6.89e+03]";0,5;1;0,5;2;2
"109";" Naca=[5.28e+03,6.89e+03]";" Myot=[1.38e+03,3.74e+03]";0,5;1;0,5;2;2
"110";" Myot=[1.38e+03,3.74e+03]";" Naca=[5.28e+03,6.89e+03]";0,5;1;0,5;2;2
"111";" Naca=[5.28e+03,6.89e+03]";" Des=[1.51e+03,3.57e+03]";0,5;1;0,5;2;2
"112";" Des=[1.51e+03,3.57e+03]";" Naca=[5.28e+03,6.89e+03]";0,5;1;0,5;2;2
"113";" Naca=[5.28e+03,6.89e+03]";" Pde4dip=[3.45e+03,6.6e+03]";0,5;1;0,5;2;2
"114";" Pde4dip=[3.45e+03,6.6e+03]";" Naca=[5.28e+03,6.89e+03]";0,5;1;0,5;2;2
"115";" Naca=[5.28e+03,6.89e+03]";" Fech=[6.44e+03,8.46e+03]";0,5;1;0,5;2;2
"116";" Fech=[6.44e+03,8.46e+03]";" Naca=[5.28e+03,6.89e+03]";0,5;1;0,5;2;2
"117";" Naca=[5.28e+03,6.89e+03]";" Ldb3=[1.58e+03,3.53e+03]";0,5;1;0,5;2;2
"118";" Ldb3=[1.58e+03,3.53e+03]";" Naca=[5.28e+03,6.89e+03]";0,5;1;0,5;2;2
"119";" mt-Rnr2=[928,1.78e+03]";" H3c3=[6.33e+03,9.03e+03]";0,5;1;0,5;2;2
"120";" H3c3=[6.33e+03,9.03e+03]";" mt-Rnr2=[928,1.78e+03]";0,5;1;0,5;2;2
"121";" mt-Rnr2=[928,1.78e+03]";" H2bc15=[3.69e+03,5.77e+03]";0,5;1;0,5;2;2
"122";" H2bc15=[3.69e+03,5.77e+03]";" mt-Rnr2=[928,1.78e+03]";0,5;1;0,5;2;2
"123";" mt-Rnr2=[928,1.78e+03]";" H3c11=[5.16e+03,6.37e+03]";0,5;1;0,5;2;2
"124";" H3c11=[5.16e+03,6.37e+03]";" mt-Rnr2=[928,1.78e+03]";0,5;1;0,5;2;2
"125";" mt-Rnr2=[928,1.78e+03]";" Rn18s-rs5=[8.47e+03,2.88e+04]";0,5;1;0,5;2;2
"126";" Rn18s-rs5=[8.47e+03,2.88e+04]";" mt-Rnr2=[928,1.78e+03]";0,5;1;0,5;2;2
"127";" mt-Rnr2=[928,1.78e+03]";" Alas2=[4.85e+03,6.54e+03]";0,5;1;0,5;2;2
"128";" Alas2=[4.85e+03,6.54e+03]";" mt-Rnr2=[928,1.78e+03]";0,5;1;0,5;2;2
"129";" mt-Rnr2=[928,1.78e+03]";" Igfbp4=[2.15e+04,2.61e+04]";0,5;1;0,5;2;2
"130";" Igfbp4=[2.15e+04,2.61e+04]";" mt-Rnr2=[928,1.78e+03]";0,5;1;0,5;2;2
"131";" mt-Rnr2=[928,1.78e+03]";" Itm2b=[8.14e+03,8.91e+03]";0,5;1;0,5;2;2
"132";" Itm2b=[8.14e+03,8.91e+03]";" mt-Rnr2=[928,1.78e+03]";0,5;1;0,5;2;2
"133";" mt-Rnr2=[928,1.78e+03]";" Mpo=[2.61e+03,3.03e+03]";0,5;1;0,5;2;2
"134";" Mpo=[2.61e+03,3.03e+03]";" mt-Rnr2=[928,1.78e+03]";0,5;1;0,5;2;2
"135";" H3c3=[6.33e+03,9.03e+03]";" H2bc15=[3.69e+03,5.77e+03]";0,5;1;0,5;2;2
"136";" H2bc15=[3.69e+03,5.77e+03]";" H3c3=[6.33e+03,9.03e+03]";0,5;1;0,5;2;2
"137";" H3c3=[6.33e+03,9.03e+03]";" H3c11=[5.16e+03,6.37e+03]";0,5;1;0,5;2;2
"138";" H3c11=[5.16e+03,6.37e+03]";" H3c3=[6.33e+03,9.03e+03]";0,5;1;0,5;2;2
"139";" H3c3=[6.33e+03,9.03e+03]";" Rn18s-rs5=[8.47e+03,2.88e+04]";0,5;1;0,5;2;2
"140";" Rn18s-rs5=[8.47e+03,2.88e+04]";" H3c3=[6.33e+03,9.03e+03]";0,5;1;0,5;2;2
"141";" H3c3=[6.33e+03,9.03e+03]";" Alas2=[4.85e+03,6.54e+03]";0,5;1;0,5;2;2
"142";" Alas2=[4.85e+03,6.54e+03]";" H3c3=[6.33e+03,9.03e+03]";0,5;1;0,5;2;2
"143";" H3c3=[6.33e+03,9.03e+03]";" Igfbp4=[2.15e+04,2.61e+04]";0,5;1;0,5;2;2
"144";" Igfbp4=[2.15e+04,2.61e+04]";" H3c3=[6.33e+03,9.03e+03]";0,5;1;0,5;2;2
"145";" H3c3=[6.33e+03,9.03e+03]";" Itm2b=[8.14e+03,8.91e+03]";0,5;1;0,5;2;2
"146";" Itm2b=[8.14e+03,8.91e+03]";" H3c3=[6.33e+03,9.03e+03]";0,5;1;0,5;2;2
"147";" H3c3=[6.33e+03,9.03e+03]";" Mpo=[2.61e+03,3.03e+03]";0,5;1;0,5;2;2
"148";" Mpo=[2.61e+03,3.03e+03]";" H3c3=[6.33e+03,9.03e+03]";0,5;1;0,5;2;2
"149";" H2bc15=[3.69e+03,5.77e+03]";" H3c11=[5.16e+03,6.37e+03]";0,5;1;0,5;2;2
"150";" H3c11=[5.16e+03,6.37e+03]";" H2bc15=[3.69e+03,5.77e+03]";0,5;1;0,5;2;2
"151";" H2bc15=[3.69e+03,5.77e+03]";" Rn18s-rs5=[8.47e+03,2.88e+04]";0,5;1;0,5;2;2
"152";" Rn18s-rs5=[8.47e+03,2.88e+04]";" H2bc15=[3.69e+03,5.77e+03]";0,5;1;0,5;2;2
