"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj";"gene_name"
"ENSMUSG00000000441.18";1230,9270457325;0,0386246856529011;0,1151864742012;0,335323100396614;0,737381369852358;0,999566129306685;" Raf1"
"ENSMUSG00000000486.14";67,0615639337885;0,153472024582991;0,212093115062628;0,72360682022928;0,46930715307829;0,999566129306685;" Septin1"
"ENSMUSG00000000489.8";572,675520821532;0,056242250255544;0,147225308401405;0,382014823852169;0,702450369186821;0,999566129306685;" Pdgfb"
"ENSMUSG00000000530.17";479,976067019508;0,0409007534755871;0,352507406952655;0,116028068258664;0,907630296771499;0,999566129306685;" Acvrl1"
"ENSMUSG00000000531.6";48,4550721826104;-0,44276293740214;0,351676420792604;-1,25900660727906;0,208027945352786;0,999566129306685;" Tamalin"
"ENSMUSG00000000532.12";1542,60693764922;0,193669108070708;0,133678654029486;1,44876614353096;0,147402901718841;0,999566129306685;" Acvr1b"
"ENSMUSG00000000538.19";2704,28445269439;0,127322470836842;0,0885227700937552;1,43830192731196;0,150348405288906;0,999566129306685;" Tom1l2"
"ENSMUSG00000000552.11";2190,46470174795;0,31904614687889;0,134882015196742;2,36537203580123;0,018011966688263;0,999566129306685;" Zfp385a"
"ENSMUSG00000000555.9";557,049724010332;0,0111990103978731;0,287198547578346;0,0389939659942678;0,968895199395602;0,999566129306685;" Itga5"
"ENSMUSG00000000561.15";516,428188304459;-0,0506727942766545;0,192146748378749;-0,263719239093087;0,791996269545241;0,999566129306685;" Wdr77"
"ENSMUSG00000000562.6";34,44493697767;-0,116246357126035;0,581045027850695;-0,200064283410244;0,841430306329173;0,999566129306685;" Adora3"
"ENSMUSG00000000563.18";1506,34605300712;0,0105934900258019;0,154866086791594;0,0684041951680338;0,94546388239356;0,999566129306685;" Atp5pb"
"ENSMUSG00000000567.6";2741,15150681593;0,348358800283336;0,177425418426387;1,96340977168312;0,0495985793024373;0,999566129306685;" Sox9"
"ENSMUSG00000000568.16";1339,68505494678;0,123050468096557;0,189052603300368;0,65087952214577;0,51512426136326;0,999566129306685;" Hnrnpd"
"ENSMUSG00000000579.15";16,6784415277385;-0,161033968203844;0,403856285175495;-0,398740775159328;0,690084219969476;0,999566129306685;" Dynlt1c"
"ENSMUSG00000000581.9";663,777950346995;-0,106638832526156;0,16784461256547;-0,635342599897631;0,525204995616349;0,999566129306685;" C1d"
"ENSMUSG00000000594.8";1759,89792669719;-0,18182451720463;0,307365748704644;-0,591557510786115;0,554146933206577;0,999566129306685;" Gm2a"
"ENSMUSG00000000600.16";1780,57791032548;-0,0612457294716454;0,144052169856907;-0,425163532992827;0,670717465990896;0,999566129306685;" Krit1"
"ENSMUSG00000000605.10";1929,8310034152;-0,00555128550759468;0,0777259737112705;-0,0714212410926636;0,943062504829121;0,999566129306685;" Clcn4"
"ENSMUSG00000000627.16";43,3408860576265;-0,565247363060215;0,362901614907242;-1,55757742550882;0,119333453471158;0,999566129306685;" Sema4f"
"ENSMUSG00000000628.11";997,813198600758;0,30816879754605;0,313244921841832;0,983795030846999;0,325216303086816;0,999566129306685;" Hk2"
"ENSMUSG00000000631.21";4654,07686202343;0,101332514724761;0,119929440031078;0,844934443940553;0,398147442017149;0,999566129306685;" Myo18a"
"ENSMUSG00000000673.10";27,2990518548709;0,195883457676753;0,417223148715044;0,469493263449143;0,63871709892404;0,999566129306685;" Haao"
"ENSMUSG00000000682.8";335,624151692694;-0,123210662693;0,434504064572062;-0,283566191295239;0,776742849396397;0,999566129306685;" Cd52"
"ENSMUSG00000000686.12";45,4106445004945;-0,22417296101182;0,348088050101095;-0,644012228936653;0,519567504083173;0,999566129306685;" Abhd15"
